round,action,predicted_effective_fidelity,F_before,F_after,channel_available,purified
106,PURIFY,0.6569210886955261,0.6673547772046124,0.6988934241659216,True,True
107,HALT,0.6426476240158081,0.0,,False,False
108,HALT,0.6484715938568115,0.6651982951132394,,True,False
109,PURIFY,0.6597833037376404,0.6688930577045546,0.7006357542074974,True,True
110,PURIFY,0.6612369418144226,0.6643753835647704,0.6955116213908094,True,True
111,PURIFY,0.651326060295105,0.6544380681776883,0.6841652542405732,True,True
112,PURIFY,0.6525056958198547,0.6673306788783576,0.6988661090079262,True,True
113,PURIFY,0.656423032283783,0.6701633023800708,0.7020725667871485,True,True
114,PURIFY,0.6617279648780823,0.6808752946868015,0.7141183276217152,True,True
115,PURIFY,0.6561136841773987,0.0,,False,False
116,PURIFY,0.6626603603363037,0.6732610496641488,0.7055691406826414,True,True
117,PURIFY,0.6627827286720276,0.670693705006149,0.7026720025299283,True,True
118,HALT,0.6443849205970764,0.0,,False,False
119,HALT,0.6476200222969055,0.6593649725245043,,True,False
120,PURIFY,0.6553518772125244,0.6697516863554484,0.7016071670288664,True,True
121,HALT,0.6423326134681702,0.6639545392276676,,True,False
122,HALT,0.6455011963844299,0.6585549226691415,,True,False
123,HALT,0.6441582441329956,0.6603232676084546,,True,False
124,HALT,0.6292708516120911,0.6455616972600119,,True,False
125,HALT,0.6286890506744385,0.6460821668751953,,True,False
126,HALT,0.6420407891273499,0.6581100211252578,,True,False
127,HALT,0.6339809894561768,0.6560927176235172,,True,False
128,HALT,0.6472432613372803,0.0,,False,False
129,PURIFY,0.6546351909637451,0.6665440878672788,0.697974176287265,True,True
130,PURIFY,0.6548305749893188,0.0,,False,False
131,PURIFY,0.6647489070892334,0.6793543001926002,0.7124158020331555,True,True
132,PURIFY,0.6584230065345764,0.6696647487622481,0.7015088462094976,True,True
133,HALT,0.6403122544288635,0.0,,False,False
134,HALT,0.6373352408409119,0.0,,False,False
135,HALT,0.641075611114502,0.0,,False,False
136,HALT,0.6401048302650452,0.6516749110666704,,True,False
137,HALT,0.6300587058067322,0.6425470479237515,,True,False
138,HALT,0.6470175981521606,0.0,,False,False
139,PURIFY,0.6542792916297913,0.660995722176702,0.6916641546765389,True,True
140,HALT,0.6414061188697815,0.0,,False,False
141,HALT,0.6389191150665283,0.0,,False,False
142,HALT,0.641749382019043,0.0,,False,False
143,HALT,0.6476565599441528,0.0,,False,False
144,PURIFY,0.6578221321105957,0.666365242221546,0.6977712870152386,True,True
145,PURIFY,0.6513652205467224,0.0,,False,False
146,HALT,0.6409460306167603,0.6516441565273589,,True,False
147,PURIFY,0.6594086289405823,0.6741238125988056,0.7065411015452263,True,True
148,HALT,0.648607611656189,0.6621492990296662,,True,False
149,PURIFY,0.6570472717285156,0.0,,False,False
150,PURIFY,0.6503118276596069,0.6719462211269394,0.7040863170507675,True,True
151,HALT,0.6352160573005676,0.6525517253311814,,True,False
152,HALT,0.6340430974960327,0.0,,False,False
