c_inference_J,c_qpu_J,c_failure_J,c_fidelity_purify_J,benefit_purify_J,c_latency_wait_J,c_energy_memory_wait_J,c_missed_opportunity_halt_J,p_good,c_inference_J_norm,c_qpu_J_norm,c_failure_J_norm,c_fidelity_purify_J_norm,benefit_purify_J_norm,c_latency_wait_J_norm,c_energy_memory_wait_J_norm,c_missed_opportunity_halt_J_norm
5e-05,9.999999999999999e-06,7.126791082356791e-07,1.4911075919417263e-06,2.5148206800971232e-05,1e-09,1e-08,2.5148206800971232e-05,0.5029641360194246,0.0,0.0,0.11715560072224387,0.5754569240717119,0.4245430759282907,0.0,0.0,0.4245430759282907
5e-05,9.999999999999999e-06,7.123521934822178e-07,1.4886054117726606e-06,2.518990980378899e-05,1e-09,1e-08,2.518990980378899e-05,0.5037981960757798,0.0,0.0,0.11358823661490808,0.5093019893797053,0.49069801062029195,0.0,0.0,0.49069801062029195
5e-05,9.999999999999999e-06,7.145333511250555e-07,1.4978834138193491e-06,2.5035276436344186e-05,1e-09,1e-08,2.5035276436344186e-05,0.5007055287268837,0.0,0.0,0.13738949796857317,0.7546023186921895,0.24539768130781564,0.0,0.0,0.24539768130781564
5e-05,9.999999999999999e-06,7.061399626747149e-07,1.489597557247994e-06,2.517337404586677e-05,1e-09,1e-08,2.517337404586677e-05,0.5034674809173354,0.0,0.0,0.04579903782673411,0.5355332416041026,0.4644667583958992,0.0,0.0,0.4644667583958992
5e-05,9.999999999999999e-06,7.049788099966463e-07,1.487826113650689e-06,2.5202898105821852e-05,1e-09,1e-08,2.5202898105821852e-05,0.504057962116437,0.0,0.0,0.033128290046090546,0.48869819073962356,0.5113018092603768,0.0,0.0,0.5113018092603768
5e-05,9.999999999999999e-06,7.048788282334044e-07,1.4864956784585812e-06,2.5225072025690316e-05,1e-09,1e-08,2.5225072025690316e-05,0.5045014405138063,0.0,0.0,0.03203726754006663,0.45352292465208943,0.5464770753479128,0.0,0.0,0.5464770753479128
5e-05,9.999999999999999e-06,7.108645040194814e-07,1.4864163627322953e-06,2.5226393954461747e-05,1e-09,1e-08,2.5226393954461747e-05,0.5045278790892349,0.0,0.0,0.09735424920370127,0.45142590272003086,0.5485740972799693,0.0,0.0,0.5485740972799693
5e-05,9.999999999999999e-06,7.026979107884712e-07,1.4866185892565263e-06,2.522302351239123e-05,1e-09,1e-08,2.522302351239123e-05,0.5044604702478246,0.0,0.0,0.008238627277600791,0.4567725530807413,0.5432274469192625,0.0,0.0,0.5432274469192625
5e-05,9.999999999999999e-06,7.097934644878023e-07,1.4804479230012362e-06,2.5325867949979398e-05,1e-09,1e-08,2.5325867949979398e-05,0.5065173589995879,0.0,0.0,0.08566683545930312,0.2936268179447635,0.7063731820552359,0.0,0.0,0.7063731820552359
5e-05,9.999999999999999e-06,7.029347212806494e-07,1.485656746399557e-06,2.523905422667405e-05,1e-09,1e-08,2.523905422667405e-05,0.504781084533481,0.0,0.0,0.010822754304884134,0.43134246927884434,0.5686575307211532,0.0,0.0,0.5686575307211532
5e-05,9.999999999999999e-06,7.104286280191445e-07,1.4822737871714738e-06,2.5295436880475438e-05,1e-09,1e-08,2.5295436880475438e-05,0.5059087376095087,0.0,0.0,0.09259787653349365,0.34190068983930827,0.6580993101606935,0.0,0.0,0.6580993101606935
5e-05,9.999999999999999e-06,7.032613180613163e-07,1.4859816215594741e-06,2.523363964067543e-05,1e-09,1e-08,2.523363964067543e-05,0.5046727928135086,0.0,0.0,0.014386648624693786,0.4399318167819076,0.5600681832180913,0.0,0.0,0.5600681832180913
