F_before,F_after,delta_F,success_probability,purification_gain,resource_cost_pairs,useful
0.6551562545683054,0.684988645600262,0.029832391031956562,0.6459125249918375,0.029832391031956562,2,True
0.6512370281557913,0.6804890837489187,0.02925205559312738,0.6431032469007032,0.02925205559312738,2,True
0.6568442696163235,0.6869218959055925,0.03007762628926902,0.6471308975285684,0.03007762628926902,2,True
0.6552260101504971,0.6850685919939403,0.02984258184344324,0.6459627727133249,0.02984258184344324,2,True
0.6603979631697776,0.6909824171686566,0.03058445399887899,0.6497124339323573,0.03058445399887899,2,True
0.6611154012901972,0.6918006029386864,0.030685201648489202,0.6502363317137775,0.030685201648489202,2,True
0.6618328846788523,0.6926183066651557,0.030785421986303407,0.6507611776914708,0.030785421986303407,2,True
0.6652368810149436,0.6964904458429368,0.03125356482799324,0.6532637043155717,0.03125356482799324,2,True
0.6513253541272581,0.6805906551609584,0.029265301033700286,0.6431662576581058,0.029265301033700286,2,True
0.6523145215348001,0.681727637161556,0.02941311562675597,0.6438728659891332,0.02941311562675597,2,True
0.6619926998595449,0.692800372438399,0.030807672578854084,0.6508782086556059,0.030807672578854084,2,True
0.6621777081847705,0.6930111056889672,0.03083339750419667,0.6510137449995107,0.03083339750419667,2,True
0.6765158737714206,0.709231591788028,0.03271571801660733,0.6617029249591095,0.03271571801660733,2,True
0.684423757514411,0.7180799799894639,0.033656222475052955,0.6677546676381684,0.033656222475052955,2,True
0.6955306979471565,0.7303847192909606,0.03485402134380411,0.6764423136118046,0.03485402134380411,2,True
0.6915638675859278,0.7260069543337173,0.03444308674778951,0.6733143548066155,0.03444308674778951,2,True
0.6779292535921753,0.7108182899880455,0.032889036395870264,0.6627763965155163,0.032889036395870264,2,True
0.6706377258097234,0.7026087519837481,0.0319710261740247,0.6572765301105562,0.0319710261740247,2,True
0.6816763501202501,0.7150139263183825,0.03333757619813238,0.6656395300027915,0.03333757619813238,2,True
0.6784889862561471,0.7114460382361635,0.032957051980016416,0.6632024989713958,0.032957051980016416,2,True
0.6720462949997664,0.7041992441906327,0.03215294919086631,0.6583316223315819,0.03215294919086631,2,True
0.6593844123314069,0.6898256312443856,0.030441218912978685,0.6489738640532721,0.030441218912978685,2,True
0.652286898677932,0.6816958995619462,0.029409000884014214,0.6438531100870297,0.029409000884014214,2,True
0.6569760728876021,0.6870727266803504,0.030096653792748285,0.6472262434693463,0.030096653792748285,2,True
0.6626858170351899,0.6935896819936028,0.030903864958412908,0.6513862965173352,0.030903864958412908,2,True
0.6704254798871158,0.7023689056011988,0.03194342571408304,0.6571178525673879,0.03194342571408304,2,True
0.6646196565229976,0.6957892415220638,0.03116958499906619,0.6528084085113318,0.03116958499906619,2,True
0.6565521289062213,0.6865875183066023,0.030035389400380974,0.6469196742383826,0.030035389400380974,2,True
0.6556266544820647,0.6855276732758079,0.029901018793743184,0.6462515402900552,0.029901018793743184,2,True
0.6523070804744053,0.6817190877433386,0.029412007268933227,0.6438675439998572,0.029412007268933227,2,True
0.6645680417183715,0.6957305857220165,0.031162544003645043,0.6527703655237379,0.031162544003645043,2,True
0.670700020791184,0.702679138481621,0.03197911769043704,0.6573231177721798,0.03197911769043704,2,True
0.6712386611550967,0.7032875663369208,0.03204890518182413,0.6577262308015449,0.03204890518182413,2,True
0.67764271275767,0.710496793356179,0.03285408059850903,0.6625584797997678,0.03285408059850903,2,True
0.6774283610601615,0.7102562318433518,0.03282787078319038,0.6623955589676226,0.03282787078319038,2,True
0.67987641783723,0.7130005317881457,0.033124113950915746,0.6642610974333941,0.033124113950915746,2,True
0.6695388439973369,0.7013664414886719,0.031827597491335013,0.6564558592201079,0.031827597491335013,2,True
0.6584373964537982,0.6887438299222792,0.030306433468481053,0.6482854282861839,0.030306433468481053,2,True
0.6781323179527232,0.7110460705306462,0.03291375257792295,0.6629309170449523,0.03291375257792295,2,True
0.6810966816102306,0.714365916895834,0.03326923528560333,0.6651949767958686,0.03326923528560333,2,True
0.6781719177764203,0.7110904848578014,0.03291856708138108,0.6629610588198555,0.03291856708138108,2,True
0.6770152599916013,0.7097924729606109,0.032777212969009595,0.6620818064583952,0.032777212969009595,2,True
0.663840275745119,0.6949032427786316,0.031062967033512634,0.6522344656255963,0.031062967033512634,2,True
0.6712802931251283,0.7033345790403276,0.03205428591519932,0.6577574092227501,0.03205428591519932,2,True
0.6674887650254989,0.6990452863618073,0.031556521336308374,0.6549305501533476,0.031556521336308374,2,True
