round,F_left,left_available,F_right,right_available,F_swapped,swap_success
259,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
260,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
261,0.0,0.0,0.0,0.0,0.0,False
262,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
263,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
264,0.0,0.0,0.0,0.0,0.0,False
265,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
266,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
267,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
268,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
269,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
270,0.7099457893657827,1.0,0.0,0.0,0.0,False
271,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
272,0.7099457893657827,1.0,0.0,0.0,0.0,False
273,0.7099457893657827,1.0,0.0,0.0,0.0,False
274,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
275,0.7099457893657827,1.0,0.0,0.0,0.0,False
276,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
277,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
278,0.0,0.0,0.7099457893657827,1.0,0.0,False
279,0.0,0.0,0.7099457893657827,1.0,0.0,False
280,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
281,0.7099457893657827,1.0,0.0,0.0,0.0,False
282,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
283,0.7099457893657827,1.0,0.0,0.0,0.0,False
284,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
285,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
286,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
287,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
288,0.7099457893657827,1.0,0.0,0.0,0.0,False
289,0.7099457893657827,1.0,0.0,0.0,0.0,False
