experiment_id,timestamp,git_commit,seed,config_hash,dataset_version,dataset_hash,model,controller,horizon,feature_set,physics_engine,realism_level,MAE,RMSE,R2,coverage,interval_width,fidelity,useful_pairs,QPU_operations,purification_count,false_purification,missed_opportunities,latency,memory,energy,source_experiment,notes
20260821T114609Z_c1f5fa28,2026-08-21T11:46:09.506909+00:00,NOT_A_GIT_REPOSITORY,271828.0,,v3-causal,,Reactive,Reactive,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,39.85,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
20260821T114609Z_ae72bcab,2026-08-21T11:46:09.509223+00:00,NOT_A_GIT_REPOSITORY,271828.0,,v3-causal,,Predictive,Predictive,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,41.01,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
20260821T114609Z_dbeee525,2026-08-21T11:46:09.511542+00:00,NOT_A_GIT_REPOSITORY,271828.0,,v3-causal,,Oracle,Oracle,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,100.0,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
20260821T114609Z_7d3b46e5,2026-08-21T11:46:09.513837+00:00,NOT_A_GIT_REPOSITORY,271828.0,,v3-causal,,DualHead,DualHead,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,54.78,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
20260821T114609Z_f45fcda0,2026-08-21T11:46:09.516288+00:00,NOT_A_GIT_REPOSITORY,16180.0,,v3-causal,,Blind,Blind,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,49.12,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
20260821T114609Z_5c6b3ec3,2026-08-21T11:46:09.518631+00:00,NOT_A_GIT_REPOSITORY,16180.0,,v3-causal,,Reactive,Reactive,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,50.19,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
20260821T114609Z_13443278,2026-08-21T11:46:09.521014+00:00,NOT_A_GIT_REPOSITORY,16180.0,,v3-causal,,Predictive,Predictive,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,49.17,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
20260821T114609Z_f3a821bd,2026-08-21T11:46:09.523404+00:00,NOT_A_GIT_REPOSITORY,16180.0,,v3-causal,,Oracle,Oracle,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,100.0,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
20260821T114609Z_6c2797e1,2026-08-21T11:46:09.525872+00:00,NOT_A_GIT_REPOSITORY,16180.0,,v3-causal,,DualHead,DualHead,,,ReferenceEngine (Aer),L1-stochastic,,,,,,,61.33,,,,,,,,controller_comparison_10seed,"useful_pairs field here is a YIELD PERCENTAGE (0-100), not a raw count."
20260821T114609Z_81865f68,2026-08-21T11:46:09.528367+00:00,NOT_A_GIT_REPOSITORY,42.0,,v3-causal,,DualHead,DualHead,,WDM-only,ReferenceEngine (Aer),L1-stochastic,0.017524,,,,,,,,,,,,,,wdm_vs_privileged_10seed,
